Категория,Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Малярные инструменты,"Кисть флейц., ширина 50 мм, натур. щетина, 55% топс, лакиров.ручка",Остаток Алматы: 95 шт,420 KZT,30-0013,Master color,Россия,Не указан
Малярные инструменты,"Лента малярная для деликатных поверхностей, 24 мм x 25 м",Остаток Алматы: 87 шт,1 570 KZT,30-6132,Master color,Россия,Не указан
Малярные инструменты,"Валик, ядро 44 мм, микрофибра ""Micromix"", ворс 12 мм, под 8 мм ручку, 180 мм",Остаток Алматы: 75 шт,2 310 KZT,30-0842,Master color,Россия,Не указан
Малярные инструменты,"KELLY-MOORE 9 PRO HD ROLLER FRAME- Рукоятка для валика 228,6мм",Остаток Алматы: 91 шт,21 100 KZT,9PHK5G,KELLY-MOORE,Америка,Не указан
Малярные инструменты,"Кисть флейц., ширина 40 мм, толщ. 11 мм, 70% ПЭT/30% натур. щетина, нерж.обжим, пласт. ручка",Остаток Алматы: 70 шт,800 KZT,30-0232,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 40 мм,  толщ. 13 мм, 70% ПБT/30% светл.натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 72 шт,840 KZT,30-0122,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 25 мм, натур. щетина, 55% топс, лакиров.ручка",Остаток Алматы: 83 шт,285 KZT,30-0011,Master color,Россия,Не указан
Малярные инструменты,"Лента малярная золотистая, рисовая бумага, 24 мм x 25 м, термостойкость до 100°C, УФ-стойкость до 30",Остаток Алматы: 74 шт,1 390 KZT,30-6122,Master color,Россия,Не указан
Малярные инструменты,"Валик, 18 см, ядро  44,  полиамид, ворс 20 мм, с подкладкой 8 мм., под 8 мм  ручку.",Остаток Алматы: 80 шт,3 120 KZT,30-0766,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 30 мм,  толщ. 12 мм, 70% ПБT/30% светл.натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 63 шт,700 KZT,30-0121,Master color,Россия,Не указан
Малярные инструменты,"KELLY-MOORE 4 X 1-4 NAP WOVEN LINT FREE ROLLER COVER- Акриловое волокно шубка (101,6мм, ворс 6,35м)",Остаток Алматы: 76 шт,6 750 KZT,0037-202,KELLY-MOORE,Америка,Не указан
Малярные инструменты,"Clever Cover: укрывная пленка с ПЭ-лентой, 140 см х 33 м. Статически заряжена. 7 мкр.",Остаток Алматы: 70 шт,5 200 KZT,30-7126,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 30 мм, толщ. 11 мм, 70% ПЭT/30% натур. щетина, ручка тверд.дерева",Остаток Алматы: 62 шт,1 740 KZT,30-0021,Master color,Россия,Не указан
Малярные инструменты,"Ручка для валика, оцинкованная сталь Ø8 мм, ширина 25 см",Остаток Алматы: 69 шт,1 390 KZT,30-1211,Master color,Россия,Не указан
Малярные инструменты,"Валик, 10 см., ядро 35 мм,  структурный поролон грубый, крупнопористый, под 6 мм ручку.",Остаток Алматы: 68 шт,1 040 KZT,30-1274,Master color,Россия,Не указан
Малярные инструменты,"Ручка для валика, оцинкованная сталь Ø6 мм, длина 19 см, ширина 5 см, для валиков 5-6 см.",Остаток Алматы: 64 шт,700 KZT,30-1221,Master color,Россия,Не указан
