Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
"Шпатель, 100 мм , нержавеющая сталь, 2К-ручка",Остаток Астана: 2 шт,1 620 KZT,30-2610,Master color,Россия,Не указан
Рукоятка MAKO для валика 25см стальной стержень 8мм 763026/763027,Остаток Алматы: 2 шт,1 940 KZT,763026/763027,MAKO,Германия,Не указан
Кельма SPATOLA  280X120 MM        114,Остаток Алматы: 1 шт,35 900 KZT,OIAFRARG00,Oikos,Италия,Не указан
Скотч MAKO малярный 50мх38мм (до 80°С) желтый 831338,Остаток Алматы: 2 шт,3 360 KZT,831338,MAKO,Германия,Не указан
Пад с ручкой для работы с пропитками и маслами,Остаток Астана: 2 шт,6 000 KZT,30-0901,Master color,Россия,Не указан
Тампон для нанесения (Салфетки) TAMPONI BY OIKOS  CONF.3PZ 102,Остаток Алматы: 1 шт,7 800 KZT,OIATAM03P0,Oikos,Италия,Не указан
Кисть MAKO плоская 60мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352460,Остаток Алматы: 2 шт,1 500 KZT,352460,MAKO,Германия,Не указан
"Маленькая кисть ""Испанка"" PENNELLO SPAGNA PICCOLO 3"" 140",Остаток Алматы: 1 шт,15 900 KZT,OIAPENS100,Oikos,Италия,Не указан
Кисть MAKO плоская натур.щетина плотность 60% 70мм/13мм 352970K,Остаток Алматы: 2 шт,1 530 KZT,352970K,MAKO,Германия,Не указан
Кисть MAKO флейцевая натур.щетина плотность 70% 70мм/21мм 354070,Остаток Алматы: 2 шт,2 700 KZT,354070,MAKO,Германия,Не указан
"Макловица, 170х75 мм, пластик основа, пластик.ручка, ПЭТ- щетина",Остаток Астана: 2 шт,2 080 KZT,30-0572,Master color,Россия,Не указан
"Кисть флейцевая, ХАЛЯЛЬ, ширина 40 мм, толщ. 11 мм, 30%  светлый конский волос + 70% темный ПБТ",Остаток Алматы: 2 шт,475 KZT,30-0222,Master color,Россия,Не указан
ГУБКА НАТУРАЛЬНАЯ МОРСКАЯ 10/11 см,Остаток Астана: 1 шт,8 670 KZT,30-2001,Master color,Россия,Не указан
"Рукоятка для валика 10,15/30см",Остаток Алматы: 1 шт,3 310 KZT,608510,ANZA,Швеция,Не указан
"Шпатель, 40 мм , нержавеющая сталь, 2К-ручка",Остаток Астана: 1 шт,1 280 KZT,30-2604,Master color,Россия,Не указан
Кельма  SPATOLA  200X80  MM        112,Остаток Астана: 1 шт,34 400 KZT,OIAFRARP00,Oikos,Италия,Не указан
Минивалик MAKO 5см в сборе короткая рукоятка 6мм 723105,Остаток Алматы: 1 шт,1 600 KZT,723105/723106,MAKO,Германия,Не указан
Валик MAKO радиаторный в сборе 12 см экстра толстый 723801SB/723802SB,Остаток Алматы: 1 шт,2 530 KZT,723801SB/723802SB,MAKO,Германия,Не указан
Металлическое приспособление для открытия банок APRIBARATTOLI              A03,Остаток Астана: 1 шт,7 800 KZT,OIAAPR0000,Oikos,Италия,Не указан
"Щетка MAKO проволочная, проволока латунь 3 рядная 819603",Остаток Алматы: 1 шт,3 210 KZT,819603,MAKO,Германия,Не указан
Ванночка MAKO для краски super GRIP 31*35 761836/761837,Остаток Астана: 1 шт,2 200 KZT,761836/761837,MAKO,Германия,Не указан
Шпатель FRATTAZZO PLASTICA 120X280 134,Остаток Астана: 1 шт,12 000 KZT,OIAFRA1P00,Oikos,Италия,Не указан
Ванночка MAKO для краски super GRIP 15*30 761826/761827,Остаток Алматы: 1 шт,860 KZT,761826/761827,MAKO,Германия,Не указан
Минивалик MAKO в сборе микрофазер 10см длинная рукоятка,Остаток Алматы: 1 шт,2 520 KZT,724410SB/724411SB,MAKO,Германия,Не указан
"Валик, 18 см, ядро 47, микрофибра PRO, ворс 9 мм, под 8 мм ручку",Остаток Алматы: 1 шт,790 KZT,30-0838,Master color,Россия,Не указан
"Ручка для валика 35-45 см, алюминий Ø 8, раздвижная",Остаток Астана: 1 шт,15 750 KZT,30-1240,Master color,Россия,Не указан
