Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Защитное покрытие BETONCRYLL IDROREPELL.  LT. 1,Остаток Астана: 1 шт,33 900 KZT,TB0I00000E,Oikos,Италия,1 л
"Pinotex Ultra рябина  2,7",Остаток Алматы: 1 шт,10 809 KZT,5197566,Pinotex,Эстония,"2,7 л"
Pinotex Classic рябина  1,Остаток Алматы: 1 шт,6 470 KZT,5195454,Pinotex,Эстония,1 л
"Защитное покрытие IGROLUX SATINATO      LT. 0,75",Остаток Алматы: 1 шт,46 700 KZT,OISIGRS00B,Oikos,Италия,"0,75 л"
"WOODEX AQUA WOOD OIL CLEAR пропитывающее средство для древесины 2,7",Остаток Алматы: 1 шт,22 900 KZT,9482003003,Teknos,Финляндия,"2,7 л"
HELO 40  специальный лак 9,Остаток Алматы: 1 шт,83 600 KZT,550370010,Teknos,Финляндия,9 л
Лак PROTEX Паркетный полуматовый  9,Остаток Алматы: 1 шт,62 090 KZT,5255233,Marshall,Турция,9 л
"Проф. лак на акриловой основе TimberCare Pro Aqua Varnish (цвет- полуматовый- satin), банка 2,5л",Остаток Алматы: 1 шт,67 200 KZT,350074,TimberCare,Нидерланды,"2,5 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Шоколадный- Chocolate), банка 0,75л",Остаток Алматы: 1 шт,32 100 KZT,350062,TimberCare,Нидерланды,"0,75 л"
"Проф. лак на масляной основе TimberCare Pro Oil Varnish (цвет- шелковисто-матовый- matte), банка 2,5",Остаток Алматы: 1 шт,58 700 KZT,350069,TimberCare,Нидерланды,"2,5 л"
Pinotex Ultra рябина  1,Остаток Алматы: 1 шт,4 570 KZT,5197681,Pinotex,Эстония,1 л
